2026-04-16 22:14:01 | __main__             | INFO     | [INGESTA] Iniciando descarga de datos...
2026-04-16 22:14:01 | __main__             | INFO     | [INGESTA] Descargando datos históricos de últimos 30 días...
2026-04-16 22:14:01 | __main__             | INFO     | [INGESTA] Descargando bitcoin...
2026-04-16 22:14:01 | __main__             | INFO     | [INGESTA] Descargando ethereum...
2026-04-16 22:14:02 | __main__             | INFO     | [INGESTA] Descargando solana...
2026-04-16 22:14:02 | __main__             | INFO     | [INGESTA] Descargando cardano...
2026-04-16 22:14:03 | __main__             | INFO     | [INGESTA] Descargando ripple...
2026-04-16 22:14:04 | __main__             | INFO     | [INGESTA] Datos descargados: 155 registros de 5 monedas
2026-04-16 22:14:04 | __main__             | INFO     | [INGESTA] Guardado en: C:\Users\Usuario\Desktop\proyectos\crypto-predict\data\raw\crypto_data_latest.parquet
2026-04-16 22:14:04 | __main__             | INFO     | [INGESTA] Columnas: ['coin_id', 'timestamp', 'price_usd', 'volume_24h', 'market_cap']
2026-04-16 22:14:04 | __main__             | INFO     | [INGESTA] Rango de fechas: 2026-03-18 01:00:00 a 2026-04-16 22:13:57
